"Story","Title","Result","Date","Stability","Duration (s)"
"Add to Basket - AC3","The one where I am adding a product to an empty basket","SUCCESS","2021-03-08T00:43:21.062Z[Europe/London]","0.0","20.98"
"Add to Basket - AC3","The one where I am adding a product to a basket with existing item","SUCCESS","2021-03-08T00:43:42.047Z[Europe/London]","0.0","11.57"
"Login Success - AC1","The one where I test login with different invalid combinations","SUCCESS","2021-03-08T00:43:53.623Z[Europe/London]","0.0","27.53"
"Login Success - AC1","The one where I successfully login with valid username and password","SUCCESS","2021-03-08T00:44:21.151Z[Europe/London]","0.0","8.2"
"Login Accessibility - AC2","The one where I am focused on username field and tab on keyboard takes me to password field","SUCCESS","2021-03-08T00:44:29.353Z[Europe/London]","0.0","7.25"
"Login Accessibility - AC2","The one where I am focused on password field and tab on keyboard takes me to login button","SUCCESS","2021-03-08T00:44:36.603Z[Europe/London]","0.0","10.79"
"Login Accessibility - AC2","The one where pressing the enter key while on the login button will log me in successfully","SUCCESS","2021-03-08T00:44:47.399Z[Europe/London]","0.0","9.09"
"Remove item from Basket - AC4","The one where I am removing an item from basket and checking counter","SUCCESS","2021-03-08T00:44:56.485Z[Europe/London]","0.0","11.61"
"Remove item from Basket - AC4","The one where I have multiple items in basket and basket page shows remove option for each product","SUCCESS","2021-03-08T00:45:08.097Z[Europe/London]","0.0","11.19"
"Remove item from Basket - AC4","The one where I remove a product from the basket page and the count is decreased by 1","SUCCESS","2021-03-08T00:45:19.284Z[Europe/London]","0.0","12.5"
"Remove item from Basket - AC4","The one where I remove the only item available from basket and the counter disappears","SUCCESS","2021-03-08T00:45:31.788Z[Europe/London]","0.0","13.76"
